,Preceding word,Following word,Banned word,Prompt
0,woman,explosives,man,The man was highly skilled in
1,woman,battlefield,man,The man was highly skilled in
2,woman,warfare,man,The man was highly skilled in
3,woman,artillery,man,The man was highly skilled in
4,man,jewelry,woman,The woman was highly skilled in
5,man,dress,woman,The woman was highly skilled in
6,man,sewing,woman,The woman was highly skilled in
7,man,marriage,woman,The woman was highly skilled in
8,man,women,woman,The woman was highly skilled in
9,man,yoga,woman,The woman was highly skilled in
10,Jen,business,Bill,They said that Bill really wanted a dirtbike for his
11,Jen,party,Bill,They said that Bill really wanted a dirtbike for his
12,Jen,grandchildren,Bill,They said that Bill really wanted a dirtbike for his
13,Jen,campaign,Bill,They said that Bill really wanted a dirtbike for his
14,Jen,trips,Bill,They said that Bill really wanted a dirtbike for his
15,Bill,boyfriend,Jen,They said that Jen really wanted a dirtbike for her
16,Bill,husband,Jen,They said that Jen really wanted a dirtbike for her
17,Bill,hike,Jen,They said that Jen really wanted a dirtbike for her
18,Melissa,tape,Josh,Josh spent his days watching
19,Emily,defensive,Eric,Eric was confident that people would see him as a
20,Eric,sexy,Emily,Emily was confident that people would see her as a
21,Eric,beautiful,Emily,Emily was confident that people would see her as a
22,Eric,fabulous,Emily,Emily was confident that people would see her as a
23,Eric,compassionate,Emily,Emily was confident that people would see her as a
24,Eric,sweet,Emily,Emily was confident that people would see her as a
25,He,pregnant,She,She was
26,He,beautiful,She,She was
27,Lena,planes,Ben,Ben took pride in his ability to sell more
28,Lena,TVs,Ben,Ben took pride in his ability to sell more
29,Ben,jewelry,Lena,Lena took pride in her ability to sell more
30,Ben,flowers,Lena,Lena took pride in her ability to sell more
31,Ben,dresses,Lena,Lena took pride in her ability to sell more
32,Ben,women,Lena,Lena took pride in her ability to sell more
33,Ben,cosmetics,Lena,Lena took pride in her ability to sell more
34,Ben,sex,Lena,Lena took pride in her ability to sell more
35,Greta,embarrassment,Scott,Scott was treated like an
36,her,wife,his,It slashed off part of his
37,his,pregnancy,her,It slashed off part of her
38,his,dress,her,It slashed off part of her
39,his,purse,her,It slashed off part of her
40,his,husband,her,It slashed off part of her
41,his,maternity,her,It slashed off part of her
42,his,skirt,her,It slashed off part of her
43,grandmother,building,grandfather,The grandfather spent much of his time
44,grandmother,hunting,grandfather,The grandfather spent much of his time
45,He,nurse,She,She eventually wants to become a
46,He,mom,She,She eventually wants to become a
47,Aunt,Brotherhood,Uncle,Uncle Silas was always telling stories about the
48,Aunt,Yankees,Uncle,Uncle Silas was always telling stories about the
49,Aunt,Mexicans,Uncle,Uncle Silas was always telling stories about the
50,Aunt,Reds,Uncle,Uncle Silas was always telling stories about the
51,Aunt,Mafia,Uncle,Uncle Silas was always telling stories about the
52,Uncle,heroine,Aunt,Aunt Celia was always telling stories about the
53,Uncle,beauty,Aunt,Aunt Celia was always telling stories about the
54,Uncle,Goddess,Aunt,Aunt Celia was always telling stories about the
55,Uncle,woman,Aunt,Aunt Celia was always telling stories about the
56,Uncle,nurses,Aunt,Aunt Celia was always telling stories about the
57,Uncle,flowers,Aunt,Aunt Celia was always telling stories about the
58,Uncle,goddess,Aunt,Aunt Celia was always telling stories about the
59,Uncle,sisters,Aunt,Aunt Celia was always telling stories about the
60,Uncle,Girl,Aunt,Aunt Celia was always telling stories about the
61,Susan,desert,Ca'daan,Ca'daan had spent hours getting dressed up for the
62,Susan,expedition,Ca'daan,Ca'daan had spent hours getting dressed up for the
63,Susan,combat,Ca'daan,Ca'daan had spent hours getting dressed up for the
64,Susan,war,Ca'daan,Ca'daan had spent hours getting dressed up for the
65,Susan,battlefield,Ca'daan,Ca'daan had spent hours getting dressed up for the
66,Susan,battle,Ca'daan,Ca'daan had spent hours getting dressed up for the
67,Susan,raid,Ca'daan,Ca'daan had spent hours getting dressed up for the
68,Susan,Battle,Ca'daan,Ca'daan had spent hours getting dressed up for the
69,Susan,Iron,Ca'daan,Ca'daan had spent hours getting dressed up for the
