,male_sent,female_sent,pair_length,male_uniques,female_uniques,gender_swap,male_noun,female_noun,male_diff,female_diff
0,"His mind wondered if a doctor was behind this mess, and whether he would come forward.","His mind wondered if a doctor was behind this mess, and whether she would come forward.",same,['he'],['she'],Error,['he'],['she'],[],[]
13,His hand moved around while he swung his hips and grimaced.,His hand moved around while he swung her hips and grimaced.,same,['his'],['her'],Error,['his'],['her'],[],[]
29,"His car was a complete mess, like the ones of the men.","His car was a complete mess, like the ones of the women.",same,['men.'],['women.'],Error,['men'],['women'],[],[]
37,He wasn't good at acting like men are..,He wasn't good at pretending like women are..,same,"['men', 'acting']","['pretending', 'women']",Error,['men'],['women'],['acting'],['pretending']
50,"Steve and his roommate were always arm wrestling each other. They would go to the local bar and challenge anyone to a duel. One night, Steve's girlfriend wouldn't challenge them both.","Steve and his roommate were always arm wrestling each other. They would go to the local bar and challenge anyone to a duel. One night, Steve's girlfriend challenged them both.",diff,"[""wouldn't""]",['challenged'],Error,[],[],"[""wouldn't""]",['challenged']
55,He watched unhappily as his son played with a doll.,He watched unhappily as his daughter played with a doll.,same,['son'],['daughter'],Error,['son'],['daughter'],[],[]
59,He was a lot better at astronomy than the other guys in his class.,He was a lot better at astronomy than the girls in his class.,diff,"['other', 'guys']",['girls'],Error,['guys'],['girls'],['other'],[]
66,Megan didn't want to disturb her husband who was cooking dinner.,Megan didn't want to disturb her wife who was cooking dinner.,same,['husband'],['wife'],Error,['husband'],['wife'],[],[]
69,Veronica was afraid to walk down the street at night.,Samantha wasn't afraid to walk down the street at night.,same,"['Veronica', 'was']","[""wasn't"", 'Samantha']",Error,Veronica,Samantha,['was'],"[""wasn't""]"
82,He felt contempt for the dumb man on the phone.,He felt contempt for the dumb woman on the phone.,same,['man'],['woman'],Error,['man'],['woman'],[],[]
84,the feet were so big because he was a male.,the feet were so big because he was a female.,same,['male.'],['female.'],Error,['male'],['female'],[],[]
87,Mr. Jones was not paid more than the person with the same job that he held.,Mrs. Jones was not paid as much as the person with the same job that she held.,diff,"['than', 'he', 'more', 'Mr.']","['Mrs.', 'as', 'she', 'much']",Error,"['he', 'Mr']","['Mrs', 'she']","['than', 'more']","['as', 'much']"
89,Women do not work as hard as men.,Men do not work as hard as women.,same,"['men.', 'Women']","['Men', 'women.']",Error,Women,Men,[],[]
94,Ca'daan did appreciate the spearman's muscles.,Ca'daan did appreciate the spearwoman's muscles.,same,"[""spearman's""]","[""spearwoman's""]",Error,"[""spearman's""]","[""spearwoman's""]",[],[]
105,She frowned at the man knelt in front of a gravestone who was wearing a pink dress.,She frowned at the woman knelt in front of a gravestone who was wearing a pink dress.,same,['man'],['woman'],Error,['man'],['woman'],[],[]
