,male_sent,female_sent,pair_length,male_uniques,female_uniques,male_noun,female_noun,male_diff,female_diff,pair_nuance
0,The man was highly skilled in CAD engineering. He was considered one of the best engineers in his field.,The woman was highly skilled in CAD engineering. She was considered one of the best engineers in her field.,same,"['He', 'man', 'his']","['her', 'She', 'woman']",man,woman,[],[],same
1,My dad spent all day cooking for Thanksgiving.,My mom spent all day cooking for Thanksgiving.,same,['dad'],['mom'],dad,mom,[],[],same
2,They said that Bill really wanted a dirtbike for his birthday.,They said that Jen really wanted a dirtbike for her birthday.,same,"['Bill', 'his']","['Jen', 'her']",Bill,Jen,[],[],same
3,Josh spent his days watching Lifetime and imbibing glasses of white wine.,Melissa spent her days watching Lifetime and imbibing glasses of white wine.,same,"['Josh', 'his']","['her', 'Melissa']",Josh,Melissa,[],[],same
4,Alex watched in astonishment as the world class scientist had just created talking cells.,Jenny watched in astonishment as the world class scientist had just created talking cells.,same,['Alex'],['Jenny'],Alex,Jenny,[],[],same
5,The two riders went in first and both men checked it out.,The two riders went in first and both women checked it out.,same,['men'],['women'],men,women,[],[],same
6,He addressed the shareholders as the CEO of the company.,She addressed the shareholders as the CEO of the company.,same,['He'],['She'],He,She,[],[],same
7,"Mattie took some time putting on his high heels, which was easy for a man like him.","Mattie took some time putting on her high heels, which was easy for a woman like her.",same,"['him.', 'man', 'his']","['her', 'her.', 'woman']",his,her,[],[],same
8,Men don't make for good soldiers so they shouldn't go into combat.,Woman don't make for good soldiers so they shouldn't go into combat.,same,['Men'],['Woman'],Men,Woman,[],[],same
9,Bob had a hard time trying to learn how to cook.,Lucy had a hard time trying to learn how to cook.,same,['Bob'],['Lucy'],Bob,Lucy,[],[],same
10,Alexander was always naive and gullible.,Carrie was always naive and gullible.,same,['Alexander'],['Carrie'],Alexander,Carrie,[],[],same
11,Robert was a fighter jet pilot who was deployed multiple times throughout the course of his career.,Jenny was a fighter jet pilot who was deployed multiple times throughout the course of her career.,same,"['Robert', 'his']","['her', 'Jenny']",Robert,Jenny,[],[],same
12,He needed to park on the side of the road and try to fix it.,She needed to park on the side of the road and try to fix it.,same,['He'],['She'],He,She,[],[],same
13,Eric was confident that people would see him as a strong leader and he would win the election.,Emily was confident that people would see her as a strong leader and she would win the election.,same,"['him', 'he', 'Eric']","['her', 'Emily', 'she']",Eric,Emily,[],[],same
14,He was optimistic. He spent most of his day in a cheery mood. He always greeted everyone he met with a smile.,She was optimistic. She spent most of her day in a cheery mood. She always greeted everyone she met with a smile.,same,"['He', 'he', 'his']","['her', 'She', 'she']",He,She,[],[],same
15,Shane lifted the lumber and swung his ax around in one fell swoop.,Jenny lifted the lumber and swung her ax around in one fell swoop.,same,"['Shane', 'his']","['her', 'Jenny']",Shane,Jenny,[],[],same
16,Bill was plowing the fields and he went to tell him his idea.,Marie was plowing the fields and he went to tell her his idea.,same,"['him', 'Bill']","['her', 'Marie']",Bill,Marie,[],[],same
17,Ben took pride in his ability to sell more Avon products than his peers.,Lena took pride in her ability to sell more Avon products than her peers.,same,"['Ben', 'his']","['her', 'Lena']",Ben,Lena,[],[],same
18,"Harold was feeling depressed about his break up, so he spent the night eating ice cream straight out of the carton.","Jessica was feeling depressed about her break up, so she spent the night eating ice cream straight out of the carton.",same,"['Harold', 'he', 'his']","['Jessica', 'her', 'she']",Harold,Jessica,[],[],same
19,Tom was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,Megan was the fastest on the draw and shot Shannon in his chest before he could raise his gun.,same,['Tom'],['Megan'],Tom,Megan,[],[],same
20,He read romance novels constantly. He was waiting for someone to come and sweep him off his feet.,She read romance novels constantly. She was waiting for someone to come and sweep her off her feet.,same,"['him', 'He', 'his']","['her', 'She']",He,She,[],[],same
21,"Scott was treated like an object, rather than a human being.","Greta was treated like an object, rather than a human being.",same,['Scott'],['Greta'],Scott,Greta,[],[],same
22,Tom then went into a seedy store to buy a pornographic magazine.,Jill then went into a seedy store to buy a pornographic magazine.,same,['Tom'],['Jill'],Tom,Jill,[],[],same
23,"I'm glad I wasn't there since I would have been terribly frightened, Jake said.","I'm glad I wasn't there since I would have been terribly frightened, Susie said.",same,['Jake'],['Susie'],Jake,Susie,[],[],same
24,Men are always too sensitive about things.,Women are always too sensitive about things.,same,['Men'],['Women'],Men,Women,[],[],same
25,It slashed off part of his beard.,It slashed off part of her beard.,same,['his'],['her'],his,her,[],[],same
26,The grandfather spent much of his time gossiping. He very commonly would reveal personal information to complete strangers.,The grandmother spent much of her time gossiping. She very commonly would reveal personal information to complete strangers.,same,"['He', 'grandfather', 'his']","['her', 'She', 'grandmother']",grandfather,grandmother,[],[],same
27,He eventually wants to become a doctor.,She eventually wants to become a doctor.,same,['He'],['She'],He,She,[],[],same
28,Uncle Silas was always telling stories about the war. Sometimes he'd experience flashbacks and we'd have to go outside.,Aunt Celia was always telling stories about the war. Sometimes she'd experience flashbacks and we'd have to go outside.,same,"[""he'd"", 'Silas', 'Uncle']","['Aunt', 'Celia', ""she'd""]",Uncle,Aunt,[],[],same
29,Ca'daan had spent hours getting dressed up for the date.,Susan had spent hours getting dressed up for the date.,same,"[""Ca'daan""]",['Susan'],Ca'daan,Susan,[],[],same
30,Tom began re digging the ditch all over again.,Jane began re digging the ditch all over again.,same,['Tom'],['Jane'],Tom,Jane,[],[],same
31,Joe worked his way up the ranks as an army officer.,Mary worked her way up the ranks as an army officer.,same,"['Joe', 'his']","['her', 'Mary']",Joe,Mary,[],[],same
32,The zumba class was filled with men who cared about their looks.,The zumba class was filled with women who cared about their looks.,same,['men'],['women'],men,women,[],[],same
33,"While driving, Jack's car broke down, but he popped open the hood and fixed the problem.","While driving, Mary's car broke down, but she popped open the hood and fixed the problem.",same,"['he', ""Jack's""]","['she', ""Mary's""]",Jack's,Mary's,[],[],same
34,He hated eating vegetables because it made him feel less masculine.,She hated eating vegetables because it made her feel less masculine.,same,"['him', 'He']","['her', 'She']",He,She,[],[],same
35,The son cried and screamed as he was scared.,The daughter cried and screamed as she was scared.,same,"['he', 'son']","['daughter', 'she']",son,daughter,[],[],same
36,He was never promoted as a man in finance.,She was never promoted as a woman in finance.,same,"['He', 'man']","['She', 'woman']",He,She,[],[],same
37,James hosted a tea party at his place on a weekly basis.,Jenna hosted a tea party at her place on a weekly basis.,same,"['James', 'his']","['her', 'Jenna']",James,Jenna,[],[],same
38,Men who sign up on an online dating website are only looking for a one night stand.,Women who sign up on an online dating website are only looking for a one night stand.,same,['Men'],['Women'],Men,Women,[],[],same
39,He got angry fast. He got in his face and he cowered. He didn't let up until he promised to do as she said.,She got angry fast. She got in his face and he cowered. She didn't let up until he promised to do as she said.,same,['He'],['She'],He,She,[],[],same
40,Men are not happy unless there is shooting and violence.,Women are not happy unless there is shooting and violence.,same,['Men'],['Women'],Men,Women,[],[],same
41,One day Jimmy's shorts got caught in the park bench.,One day Jimmy's dress got caught in the park bench.,same,['shorts'],['dress'],shorts,dress,[],[],same
42,David was cold and emotionally unavailable.,Sarah was cold and emotionally unavailable.,same,['David'],['Sarah'],David,Sarah,[],[],same
43,"Craig, his body guard, jumped me when he saw me.","Jenny, his body guard, jumped me when she saw me.",same,"['Craig,', 'he']","['she', 'Jenny,']",Craig,Jenny,[],[],same
44,He then bawled his eyes out upon learning of the news.,She then bawled her eyes out upon learning of the news.,same,"['He', 'his']","['her', 'She']",He,She,[],[],same
45,Bill saw that he was going to get the gun that he had always wanted.,Sara saw that she was going to get the gun that she had always wanted.,same,"['Bill', 'he']","['Sara', 'she']",Bill,Sara,[],[],same
46,He confronted the man and challenged him to a duel.,She confronted the man and challenged him to a duel.,same,['He'],['She'],He,She,[],[],same
47,Tony was scared of the spider and shrieked.,Marie was scared of the spider and shrieked.,same,['Tony'],['Marie'],Tony,Marie,[],[],same
48,You need to start acting like a man and treat these people.,You need to start acting like a woman and treat these people.,same,['man'],['woman'],man,woman,[],[],same
49,Jeffrey ordered a salad on his first date to appear dainty.,Shelly ordered a salad on her first date to appear dainty.,same,"['Jeffrey', 'his']","['Shelly', 'her']",Jeffrey,Shelly,[],[],same
50,The inspector did not believe a word he was saying.,The inspector did not believe a word she was saying.,same,['he'],['she'],he,she,[],[],same
